Entry Date,Exit Date
2020-01-28,2020-02-24
2020-04-09,2020-04-14
2020-04-21,2020-04-22
2020-04-23,2020-04-24
2020-04-28,2020-06-10
2020-06-11,2020-07-06
2020-07-13,2020-08-26
2020-09-03,2020-09-11
2020-10-05,2020-10-28
2020-11-09,2020-11-16
2020-11-17,2020-11-24
2020-12-09,2021-02-22
2021-04-01,2021-04-13
2021-04-20,2021-04-30
2021-05-03,2021-05-10
2021-05-26,2021-06-10
2021-06-16,2021-06-28
2021-07-16,2021-09-20
2021-10-22,2021-11-02
2021-11-10,2021-11-29
2021-11-30,2021-12-06
2021-12-07,2021-12-08
2021-12-09,2021-12-16
2021-12-28,2021-12-29
2021-12-30,2022-01-03
2022-01-04,2022-01-06
2022-03-23,2022-03-30
2022-03-31,2022-04-04
2022-04-05,2022-04-12
2022-07-19,2022-07-20
2022-07-22,2022-07-27
2022-08-09,2022-08-23
2022-08-25,2022-08-29
2022-11-14,2022-12-14
2023-01-17,2023-01-23
2023-02-09,2023-03-01
2023-03-06,2023-03-09
2023-03-17,2023-05-18
2023-05-24,2023-05-26
2023-06-21,2023-06-22
2023-06-23,2023-06-30
2023-07-06,2023-07-07
2023-07-10,2023-07-13
2023-07-20,2023-07-21
2023-07-24,2023-07-25
2023-07-26,2023-07-27
2023-08-01,2023-08-09
2023-09-01,2023-09-05
2023-09-06,2023-09-11
2023-09-12,2023-09-14
2023-10-11,2023-10-19
2023-11-09,2023-11-10
2023-12-04,2023-12-12
2024-01-02,2024-04-12
2024-05-07,2024-05-08
2024-05-09,2024-05-10
2024-05-13,2024-05-21
2024-05-30,2024-06-13
2024-06-24,2024-07-05
2024-07-11,2024-07-12
2024-08-19,2024-09-05
2024-09-13,2024-10-09
2024-10-15,2024-10-16
2024-10-17,2024-10-18
2024-10-21,2024-10-22
2024-10-24,2024-10-25
2024-10-28,2024-10-29
2024-10-30,2024-12-16
2024-12-23,2025-01-02
2025-01-06,2025-01-07
2025-01-24,2025-02-19
2025-02-20,2025-02-25
2025-04-29,2025-05-12
2025-05-23,2025-09-22
