Trade #,Entry Date,Exit Date,Trading Days Held,QQQ %,TQQQ Value,TQQQ %,TQQQ Max Drawdown,QQQ Min,QQQ Enter ATR,QQQ Exit ATR,QQQ Enter Price,QQQ Exit Price,TQQQ Enter Price,TQQQ Exit Price
#1,5/10/2020,22/10/2020,14,1.41%,"$10,358.80",3.59%,0.00%,"$10,000.00",6.90,6.11,$280.16,$284.18,$33.42,$34.62
#2,9/11/2020,23/02/2021,77,11.35%,"$13,961.38",34.78%,0.00%,"$10,000.00",7.40,5.56,$288.59,$321.48,$35.54,$47.92
#3,1/04/2021,5/05/2021,25,1.34%,"$14,435.71",3.40%,0.00%,"$10,000.00",6.73,5.14,$324.57,$329.03,$47.95,$49.58
#4,26/05/2021,2/07/2021,28,7.28%,"$17,784.51",23.20%,0.00%,"$10,000.00",5.38,3.70,$334.13,$358.64,$51.40,$63.36
#5,20/07/2021,20/09/2021,45,1.91%,"$18,759.58",5.48%,0.00%,"$10,000.00",4.22,4.64,$358.79,$365.70,$63.28,$66.75
#6,22/10/2021,3/11/2021,9,5.03%,"$21,746.13",15.92%,0.00%,"$10,000.00",4.84,4.62,$374.10,$393.18,$70.64,$81.91
#7,23/11/2021,3/12/2021,9,-3.60%,"$19,358.60",-10.98%,-10.98%,"$10,000.00",5.02,7.08,$397.48,$383.13,$84.33,$75.04
#8,28/12/2021,6/01/2022,8,-4.30%,"$16,836.35",-13.03%,-22.58%,"$10,000.00",7.28,7.08,$401.61,$384.02,$85.68,$74.47
#9,23/03/2022,11/04/2022,14,-3.07%,"$15,143.89",-10.05%,-30.36%,"$10,000.00",9.59,8.20,$351.83,$340.89,$53.55,$48.16
#10,19/07/2022,24/08/2022,27,5.55%,"$17,404.89",14.93%,-19.96%,"$10,000.00",7.93,6.44,$298.30,$315.01,$28.46,$32.71
#11,14/11/2022,8/12/2022,19,-0.55%,"$16,798.13",-3.49%,-22.75%,"$10,000.00",8.04,6.32,$285.44,$283.85,$22.07,$21.30
#12,13/01/2023,2/02/2023,15,10.72%,"$22,484.48",33.85%,0.00%,"$10,000.00",6.08,6.72,$280.97,$311.72,$20.10,$26.91
#13,17/02/2023,24/02/2023,6,-3.07%,"$20,362.03",-9.44%,-9.44%,"$10,000.00",6.37,6.24,$301.16,$291.85,$24.04,$21.77
#14,17/03/2023,25/04/2023,28,1.50%,"$20,883.67",2.56%,-7.12%,"$10,000.00",6.41,4.86,$305.36,$309.99,$24.57,$25.20
#15,10/05/2023,18/05/2023,7,3.70%,"$23,181.92",11.01%,0.00%,"$10,000.00",4.62,4.44,$325.14,$337.27,$28.79,$31.96
#16,23/06/2023,18/07/2023,18,6.33%,"$27,567.07",18.92%,0.00%,"$10,000.00",5.30,5.18,$362.54,$385.74,$38.95,$46.32
#17,1/09/2023,20/09/2023,14,-3.44%,"$24,611.53",-10.72%,-10.72%,"$10,000.00",5.59,5.10,$377.59,$364.54,$42.29,$37.75
#18,11/10/2023,19/10/2023,7,-2.99%,"$22,336.53",-9.24%,-18.97%,"$10,000.00",5.65,5.90,$371.22,$359.97,$39.34,$35.70
#19,9/11/2023,14/11/2023,4,4.07%,"$25,093.01",12.34%,-8.97%,"$10,000.00",5.55,5.82,$370.07,$385.33,$38.22,$42.94
#20,4/12/2023,13/12/2023,8,4.46%,"$28,451.09",13.38%,0.00%,"$10,000.00",4.80,4.86,$386.32,$403.74,$42.98,$48.74
#21,2/01/2024,5/04/2024,69,9.29%,"$35,383.52",24.37%,0.00%,"$10,000.00",4.55,5.88,$402.59,$440.47,$48.13,$59.86
#22,7/05/2024,12/06/2024,27,7.59%,"$43,477.12",22.87%,0.00%,"$10,000.00",6.68,5.61,$440.32,$474.15,$58.56,$71.96
#23,28/06/2024,5/07/2024,6,3.56%,"$48,069.40",10.56%,0.00%,"$10,000.00",5.43,5.53,$479.11,$496.16,$73.82,$81.63
#24,22/08/2024,5/09/2024,11,-2.86%,"$43,604.68",-9.29%,-9.29%,"$10,000.00",9.48,9.05,$474.85,$461.04,$68.38,$62.02
#25,20/09/2024,20/11/2024,44,4.18%,"$47,995.15",10.07%,-0.15%,"$10,000.00",8.81,6.90,$482.44,$503.17,$70.13,$77.20
#26,10/12/2024,16/12/2024,5,3.31%,"$52,823.13",10.06%,0.00%,"$10,000.00",5.99,6.33,$520.60,$538.17,$84.76,$93.29
#27,6/01/2025,7/01/2025,2,-1.75%,"$49,981.92",-5.38%,-5.38%,"$10,000.00",8.41,8.72,$524.54,$515.18,$85.21,$80.62
#28,24/01/2025,25/02/2025,23,-3.02%,"$44,723.04",-10.52%,-15.33%,"$10,000.00",8.20,7.94,$529.63,$513.32,$86.75,$77.62
#29,29/04/2025,22/09/2025,105,26.30%,"$85,350.79",90.84%,0.00%,"$10,000.00",15.07,5.85,$475.53,$602.20,$54.87,$104.72
#30,13/10/2025,29/10/2025,13,5.55%,"$99,706.67",16.82%,0.00%,"$10,000.00",7.64,8.28,$602.01,$635.77,$103.23,$120.61
